answer,kategori,question
Boyunbağı,,Kravat
Batimetre,,Okyanus derinliğini ölçen alet
Dirseklik,,Koltukların kol konulan kenarlıkları
Ergonomik,,"Kullanımı kolay, işlevsel"
Koalisyon,,Birden çok partinin kurduğu hükümet
Güverte,,Gemilerde kamaraların üstünü kaplayan alan
Fuji dağı,,Japonya'da bir volkan
Şekilsiz,,Belirli bir formu olmayan; biçim yoksunu
Kaldıraç,,Az kuvvetle çok ağırlık taşıyan basit makine
Ören yeri,,Arkeolojik kalıntıların bulunduğu alan
Kuvertür,,Kalıp halinde satılan katkısız çikolata
Uçtu uçtu,,Bulutsuzluk Özlemi'nin 2. stüdyo albümü
Fırıldak,,Kağıttan yapılmış pervane şeklindeki oyuncak
Alaeddin,,Konya'nın Karatay ilçesinde bulunan ünlü tepe
Çoğalmak,,"Miktar olarak artmak, üremek"
Kelepser,,Ata takılan kayışlardan biri
Aşınmaz,,El öpmekle ağız __
Sabancı,,Akbank'ın sahibi olan Holding
Prometyum,,"Simgesi Pm olan, nadir bulunan yapay element"
Pavarottı,,"Luciano __, Ankara'da da sahne almış İtalyan tenor"
Haksızlık,,Adaletten uzak davranış
Dört köşe,,Çok sevinçli olanların girdiği geometrik biçim
Voleybol,,Altışarlık takımlarla file üzerinden oynanan oyun
Sanayici,,Endüstri alanında girişimi bulunan iş insanı
Tanıklık,,Bir olayı gören kişinin mahkemede üstlendiği görev
Tahrifat,,Bir yapının aslını bozmak
Akbayram,,"Edip __, Kuşlar adlı şarkıyı söyleyen sanatçı"
Broadway,,Müzikalleriyle ünlü New York City yöresi
Boylamak,,"Hapsi __, cezaevine konulmak"
Mozambik,,Bayrağında bir tüfek resmi olan Afrika ülkesi
Sabıkalı,,Adli sicili bozuk kimse
Frenleme,,Kontrolünü kaybeden kişiyi dizginleme
Laledevri,,Nedim'in şairi olduğu edebi dönemi
Yüznumara,,Halk dilinde tuvalet
Damga pulu,,Kira kontratlarına yapıştırılan değerli kağıt
Kriptonit,,"Superman'i elden ayaktan düşüren yeşil, parlak taş"
Icapçılık,,Çağrılmayı evde bekleme şeklindeki doktor nöbeti
Koşu bandı,,Evdeki maraton pisti
Anlayışlı,,"Hoşgörülü, sağduyulu"
Incelemek,,Detaylı bir şekilde gözden geçirmek
Baş parmak,,Otostop çekerken havaya kaldırılan el parçası
Civcivler,,Ufak at da __ yesin
Istikamet,,"Askerde yenen bol koşturmacalı, kaotik ceza"
Etkisiz,,Matematikte sıfır için böyle eleman denir
Muazzez,,"Abacı soyadlı, ünlü kadın TSM sanatçısı"
Pıkachu,,En ünlü pokemon
Saatler,,Nicole Kidman'ın Virginia Woolf'u oynadığı film
Kayıkçı,,En küçük deniz taşıtının kaptanı
