answer,question
Balerina,Lunaparkta bir kadının eteklerinde dönme oyuncağı
Azra akın,2002 Türkiye ve Dünya Güzeli
Selektör,Öndeki aracın dikkatini çekerken kullanılan ışık
Inceleme,"Bir ürün için yapılan detaylı yorum, değerlendirme"
Mefruşat,Ev döşemek için gereken eşyalar
Imzagünü,Yazar ve okuyucuyu bir araya getiren etkinlik
Koklaşma,"Atasözüne göre, hayvanların iletişim kurma yöntemi"
Demirci,Ferforje işi yapan meslek erbabı
Ayarsız,"Nerede, nasıl konuşacağını, davranacağını bilmeyen"
Ortaboylu,Ne uzun ne de kısa olan kişi
Teknoloji,Etnolojik kelimesinin anagramı
Peşi sıra,Ardınca; hemen arkasından
Ustaoğlu,"Araf filminin yönetmeni, Yeşim __"
Işık yılı,Yıldızlar arası mesafe ölçü birimi
Kornişon,Turşusu yapılan küçük salatalık türü
Daltonizm,Renk körlüğü
Tütsüleme,Füme et ve peynir yapımında kullanılan yöntem
Sismograf,Yer sarsıntılarını ölçen ve kaydeden araç
Reflektör,Araç yolda kalınca kullanılan üçgen kırmızı levha
Ipek soylu,Çiftlerde Amerika Açık'ı kazanan ilk Türk tenisçi
Kafa bulma,Bir kişiyi aptal yerine koyarak alay etme
Acilçıkış,Kurumlarda doğal afette yol gösterici yeşil levha
El çantası,Çoğunlukla kadınların kullandığı bir aksesuar
Defroster,Donmayı önleyen alet
Son urfalı,Ömer Uğur’un yönetmenlik yaptığı ilk sinema filmi
Kuvvetler,"Yasama, yürütme, yargı için kullanılan terim"
Acayiplik,"Gariplik, sıra dışılık"
Levend,Osmanlı'da donanmasındaki askerlere verilen ad
Kahire,Piramitler ülkesinin başkenti
Güderi,"Üzeri dokulu, silme işleminde de kullanılan deri"
Hendek,Cahile laf anlatmak deveye __ atlatmaktan zordur
Mutfak,Yemek yapılan ve yenilen oda
Yemeni,Başa bağlanan renkli tülbent
Bayram,Genellikle tatil olan milli veya dini kutlama günü
Teflon,Mutfak araçlarında kullanılan yapışmaz madde
